0.6771	-0.4831	0.4624
-0.9142	-0.9882	-0.24
0.1488	0.4878	-0.2242
0.6137	0.2751	-0.5741
-0.4975	-0.7114	0.3295
0.3031	0.8922	-0.2155
0.6318	0.8605	-0.1534
-0.3801	-0.4624	0.2938
0.0729	-0.6734	-0.1801
-0.578	-0.5664	0.3139
0.3036	-0.8944	-0.2072
-0.5414	0.3349	-0.588
-0.3781	-0.3867	0.2145
0.4414	0.9088	-0.1869
-0.7377	-0.8634	-0.1405
-0.7495	-0.6677	-0.1127
0.8228	-0.7275	0.7635
0.234	-0.462	-0.2176
-0.5587	0.4258	-0.5483
0.098	0.8827	-0.2165
-0.3403	0.409	-0.5388
0.8869	0.1632	-0.8916
0.7603	0.4992	-0.7081
-0.2408	0.4511	-0.4481
-0.6744	0.9124	-0.1563
-0.6075	0.5524	-0.43
0.2266	-0.6754	-0.2186
-0.9379	-0.4227	-0.5762
0.9421	0.901	-0.0101
-0.5439	0.9171	-0.1072
0.3597	-0.8901	-0.1866
0.1997	-0.2137	-0.2205
-0.5693	-0.6352	0.3212
-0.8465	-0.9852	-0.2337
0.5776	-0.9644	-0.1505
0.7559	-0.2949	0.2991
0.4443	0.9369	-0.1787
-0.6887	-0.6741	0.0658
-0.3732	-0.9412	-0.0818
-0.2847	-0.9456	-0.1143
0.5873	0.9985	-0.0752
-0.7795	0.2452	-0.2282
-0.7349	-0.3799	-0.1008
-0.7304	-0.5533	-0.0484
-0.2069	-0.7297	0.0945
-0.5179	0.855	-0.1598
-0.2178	0.0225	-0.3383
-0.8142	-0.9566	-0.2395
-0.6809	0.689	-0.2825
0.7583	-0.626	0.735
0.9826	0.4241	-0.8993
0.7427	-0.0407	-0.3717
-0.008	-0.4249	-0.1295
-0.8781	-0.4751	-0.4939
-0.6275	0.8342	-0.1902
-0.7534	-0.9731	-0.2091
-0.2606	0.3973	-0.4835
0.7787	0.1875	-0.8107
-0.6866	-0.3666	-0.0007
-0.5332	-0.9832	-0.1781
-0.2062	0.2997	-0.449
-0.83	0.5376	-0.1509
0.9394	0.4296	-0.9266
0.5639	-0.5249	0.1974
-0.6085	-0.4736	0.2264
0.4276	0.9552	-0.1806
0.2742	0.0918	-0.2277
0.6961	0.6042	-0.4922
0.3366	0.342	-0.2558
0.6413	0.9409	-0.0754
-0.0262	0.6349	-0.2574
0.2831	-0.3873	-0.2051
0.3219	-0.284	-0.1979
0.8764	-0.0247	-0.4657
-0.818	0.3477	-0.1473
0.0298	-0.5568	-0.147
0.45	-0.8635	-0.1161
0.9282	-0.5847	1
-0.6778	0.2764	-0.4297
-0.9995	-0.3287	-0.5174
-0.4498	-0.9109	0.0004
-0.8122	-0.18	-0.2419
0.6338	0.741	-0.2804
-0.9549	0.4544	0.0287
0.696	0.4572	-0.6571
0.9102	0.3127	-1
0.4846	-0.3101	-0.0704
0.768	-0.3055	0.344
-0.881	0.4368	-0.0454
0.9164	-0.6863	0.9318
-0.1673	-0.8119	-0.0113
-0.1001	0.7383	-0.2424
-0.2168	-0.4944	0.1311
-0.2912	0.486	-0.4673
0.3017	0.8796	-0.2163
0.6656	-0.06	-0.3008
0.2597	-0.8836	-0.2158
0.0844	-0.0885	-0.2219
0.7262	0.7104	-0.3553
-0.0555	0.5738	-0.2833
